Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
1,17795,1387,Salaried,51,Married,0,637,4,0.53,19403,45638,16619,84,Personal,Urban,Not Graduate,Female,Private,No
2,2860,2679,Salaried,46,Married,3,621,2,0.3,2580,49272,38687,,Car,Semiurban,Graduate,,Private,No
3,7390,2106,Salaried,25,Single,2,674,4,0.2,13844,6908,27943,72,,Urban,,Female,Government,Yes
4,13964,8173,Salaried,40,Married,2,579,3,0.31,9553,10844,27819,60,Business,Rural,Graduate,Female,Government,No
5,13284,4223,Self-employed,31,Single,2,721,1,0.29,9386,37629,12741,72,Car,,Graduate,Male,Private,Yes
6,8265,4831,Salaried,53,Single,1,602,1,0.56,19522,2911,9798,36,Home,Semiurban,Graduate,Male,Unemployed,No
7,18850,2768,Salaried,58,Married,0,687,0,0.48,14635,8991,26143,24,Home,Rural,Graduate,Male,Private,No
8,6426,3186,Salaried,47,Married,2,636,4,,671,11572,33747,84,Personal,Rural,Graduate,Female,,No
9,16423,,Salaried,54,Married,1,729,0,0.59,777,43066,34651,36,Home,Semiurban,Graduate,Male,Private,No
10,13363,2599,Contract,35,Single,3,726,1,,3022,29693,22182,60,Personal,Rural,Graduate,Female,Government,Yes
11,18023,4033,Salaried,52,Married,2,688,1,0.13,18244,40004,10415,12,Education,Urban,Not Graduate,Female,MNC,Yes
12,10322,8428,Self-employed,41,,1,743,4,0.23,,38333,12085,84,Car,Semiurban,Graduate,Male,Government,Yes
13,3685,1304,Contract,25,Married,2,735,3,0.32,13817,17493,16008,36,Business,Rural,Graduate,Male,Private,No
14,2769,7368,Self-employed,26,Single,0,767,3,0.18,14260,39697,23102,72,Personal,Semiurban,Graduate,Male,Private,No
15,4433,5877,Contract,58,Single,0,713,4,0.57,1074,,19452,84,,Semiurban,,Male,MNC,No
16,7311,1301,Salaried,42,Married,3,710,4,0.48,9908,24561,9120,72,Personal,Urban,Not Graduate,Female,Private,
17,7051,2541,Unemployed,38,,2,724,0,0.23,9475,18033,8820,48,Personal,Urban,Graduate,Female,Private,Yes
18,8420,2051,Salaried,34,Married,1,562,4,0.4,12878,7351,19170,48,Home,Urban,Graduate,Male,Private,No
19,19568,6809,Salaried,30,Married,3,589,3,0.46,15120,25921,17259,48,Home,Rural,Not Graduate,Female,Private,No
20,8396,8633,,33,Single,2,638,,0.57,1986,19340,23099,84,Car,Urban,Graduate,Male,Private,No
21,10666,8996,Unemployed,51,Married,3,617,0,0.54,10825,14901,10649,12,Business,Rural,Graduate,Male,MNC,No
22,4747,74,Contract,50,Married,1,591,0,0.36,9193,,31255,60,Car,Urban,Graduate,Male,Business,No
23,2189,6981,Salaried,23,Married,3,696,0,0.49,17430,38596,12805,84,,Urban,Graduate,Male,Government,No
24,5005,5475,Salaried,50,Single,3,759,0,0.38,2176,21378,9744,24,Home,Urban,,Female,Private,Yes
,3899,8232,Unemployed,26,Single,3,778,,0.38,18722,44324,33305,72,Home,Urban,Graduate,Female,Government,No
26,3267,,Salaried,49,,2,643,4,0.16,10047,22820,26857,72,Business,Rural,,Male,Government,No
27,19912,5796,Contract,28,Single,1,568,1,0.16,16884,25060,11679,84,Personal,Urban,Graduate,Male,Government,
28,13394,7141,,53,Married,0,735,4,0.36,18617,32642,30829,84,Car,Urban,Not Graduate,Male,Private,Yes
29,5556,1622,Salaried,37,Married,,572,2,0.23,4608,25378,11985,60,Business,Urban,Not Graduate,Male,Unemployed,No
30,5890,8041,Salaried,31,Married,0,603,0,0.11,11906,8150,29287,12,Car,Rural,Not Graduate,Female,Government,No
31,10838,341,Salaried,33,Married,,757,2,0.46,7234,,13391,84,Personal,Semiurban,Graduate,Female,Unemployed,No
,16502,2074,Salaried,31,Married,2,614,3,0.12,6610,24059,5861,48,Car,Urban,Graduate,Female,,No
33,12627,,Contract,51,Single,2,689,3,0.4,10524,34525,35364,60,Education,Rural,Not Graduate,Male,Private,No
34,10792,645,Salaried,48,Married,1,573,4,0.37,16984,18193,17863,24,Business,Urban,Graduate,Male,,No
35,12555,4263,Contract,26,Married,1,583,4,0.58,13411,43967,32499,48,Home,Urban,Not Graduate,Male,MNC,No
36,12253,8801,Salaried,36,Married,3,602,1,0.34,9180,27801,28794,24,Car,Rural,Graduate,Male,Private,No
37,10433,6136,Unemployed,24,Married,0,798,1,0.13,15225,49063,8919,36,Business,Urban,Graduate,Male,MNC,Yes
38,12233,8646,Salaried,55,Single,1,685,3,0.38,10073,26246,21282,24,Business,Rural,Graduate,Male,MNC,Yes
39,13016,9900,Salaried,46,Married,3,567,0,0.52,4483,12807,,48,Car,,Not Graduate,Male,Business,No
,4612,2969,Salaried,32,Married,1,606,2,0.6,5901,17535,6624,36,Home,Semiurban,Not Graduate,Female,Business,No
41,17787,3028,Contract,31,Single,2,661,1,0.32,,5492,34706,48,Home,Urban,Graduate,Female,Business,Yes
42,19159,7643,Self-employed,57,Married,1,554,1,0.26,18138,31357,9176,72,Car,Rural,Graduate,Male,Business,No
43,14206,2681,Contract,45,Married,0,703,0,0.55,18848,6302,34529,48,Business,Semiurban,Not Graduate,Female,Private,No
44,,3629,Salaried,38,Married,1,707,0,0.2,10415,32314,13941,36,Home,Urban,Graduate,Male,Business,Yes
45,16541,4225,Salaried,39,Married,0,731,4,,4482,,2669,,Car,,Not Graduate,,MNC,No
46,5152,3067,Self-employed,43,Single,2,562,2,,9686,4747,21246,,Car,Urban,Graduate,Female,Private,No
47,3585,5941,Salaried,58,Single,0,632,,0.12,7400,47006,21323,12,Car,Rural,Graduate,Male,Unemployed,No
48,5943,1386,Salaried,38,Married,1,578,1,0.27,6806,41170,34894,12,Business,Urban,Graduate,Female,Private,No
49,3021,2866,Unemployed,46,Single,3,552,1,0.23,10516,10686,7021,12,Home,Urban,Graduate,Male,Private,No
